"GEOID10","CJEST_ID","water_cutoff","mean_area","min_area","max_area"
17001000100,1420,"Intermittently Exposed",8.93750130394383,8.76919006986058,9.18073441586753
17001000100,1420,"Intermittently Flooded",0.816636735461786,0.530063324337788,1.08352228279364
17001000100,1420,"Permanently Flooded",11.0669350694393,11.0669350694393,11.0669350694393
17001000100,1420,"Seasonally Flooded",8.91384886853568,8.62727545741168,9.18073441586753
17001000100,1420,"Seasonally Flooded/Saturated",8.92605199244414,8.70049420086241,9.18073441586753
17001000100,1420,"Seasonally Saturated",8.91384886853568,8.62727545741168,9.18073441586753
17001000100,1420,"Semipermanently Flooded",8.92605199244414,8.70049420086241,9.18073441586753
17001000100,1420,"Temporary Flooded",0.816636735461786,0.530063324337788,1.08352228279364
17001000201,1055,"Intermittently Exposed",8.64219698509166,8.64219698509166,8.64219698509166
17001000201,1055,"Intermittently Flooded",0.119788221880573,0,0.47915288752229
17001000201,1055,"Permanently Flooded",8.64219698509166,8.64219698509166,8.64219698509166
17001000201,1055,"Seasonally Flooded",8.64219698509166,8.64219698509166,8.64219698509166
17001000201,1055,"Seasonally Flooded/Saturated",8.64219698509166,8.64219698509166,8.64219698509166
17001000201,1055,"Seasonally Saturated",8.64219698509166,8.64219698509166,8.64219698509166
17001000201,1055,"Semipermanently Flooded",8.64219698509166,8.64219698509166,8.64219698509166
17001000201,1055,"Temporary Flooded",0.119788221880573,0,0.47915288752229
17001000400,565,"Intermittently Exposed",0.961816553590367,0.961816553590367,0.961816553590367
17001000400,565,"Intermittently Flooded",0.111340993335732,0,0.148454657780976
17001000400,565,"Permanently Flooded",0.961816553590367,0.961816553590367,0.961816553590367
17001000400,565,"Seasonally Flooded",0.879436095034698,0.768095101698966,0.916549759479942
17001000400,565,"Seasonally Flooded/Saturated",0.961816553590367,0.961816553590367,0.961816553590367
17001000400,565,"Seasonally Saturated",0.879436095034698,0.768095101698966,0.916549759479942
17001000400,565,"Semipermanently Flooded",0.961816553590367,0.961816553590367,0.961816553590367
17001000400,565,"Temporary Flooded",0.111340993335732,0,0.148454657780976
17001000500,561,"Intermittently Exposed",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Intermittently Flooded",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Permanently Flooded",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Seasonally Flooded",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Seasonally Flooded/Saturated",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Seasonally Saturated",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Semipermanently Flooded",0.084092789119856,0.084092789119856,0.084092789119856
17001000500,561,"Temporary Flooded",0.084092789119856,0.084092789119856,0.084092789119856
17001000800,560,"Intermittently Exposed",1.86714622940845,1.86714622940845,1.86714622940845
17001000800,560,"Intermittently Flooded",1.86402618837263,1.85579451155968,1.86677008064362
17001000800,560,"Permanently Flooded",1.86714622940845,1.86714622940845,1.86714622940845
17001000800,560,"Seasonally Flooded",1.86440233713746,1.8561706603245,1.86714622940845
17001000800,560,"Seasonally Flooded/Saturated",1.86714622940845,1.86714622940845,1.86714622940845
17001000800,560,"Seasonally Saturated",1.86440233713746,1.8561706603245,1.86714622940845
17001000800,560,"Semipermanently Flooded",1.86714622940845,1.86714622940845,1.86714622940845
17001000800,560,"Temporary Flooded",1.86402618837263,1.85579451155968,1.86677008064362
17001000900,564,"Intermittently Exposed",0,0,0
17001000900,564,"Intermittently Flooded",0,0,0
17001000900,564,"Permanently Flooded",0.223981731647709,0.223981731647709,0.223981731647709
17001000900,564,"Seasonally Flooded",0,0,0
17001000900,564,"Seasonally Flooded/Saturated",0,0,0
17001000900,564,"Seasonally Saturated",0,0,0
17001000900,564,"Semipermanently Flooded",0,0,0
17001000900,564,"Temporary Flooded",0,0,0
17001001002,1054,"Intermittently Exposed",0,0,0
17001001002,1054,"Intermittently Flooded",0,0,0
17001001002,1054,"Permanently Flooded",0.563213236546054,0.563213236546054,0.563213236546054
17001001002,1054,"Seasonally Flooded",0,0,0
17001001002,1054,"Seasonally Flooded/Saturated",0,0,0
17001001002,1054,"Seasonally Saturated",0,0,0
17001001002,1054,"Semipermanently Flooded",0,0,0
17001001002,1054,"Temporary Flooded",0,0,0
17001001100,1052,"Intermittently Exposed",2.55056273265301,2.55056273265301,2.55056273265301
17001001100,1052,"Intermittently Flooded",0.386543568350062,0.22287342958431,0.713883845881567
17001001100,1052,"Permanently Flooded",6.74226315418042,6.74226315418042,6.74226315418042
17001001100,1052,"Seasonally Flooded",2.55056273265301,2.55056273265301,2.55056273265301
17001001100,1052,"Seasonally Flooded/Saturated",2.55056273265301,2.55056273265301,2.55056273265301
17001001100,1052,"Seasonally Saturated",2.55056273265301,2.55056273265301,2.55056273265301
17001001100,1052,"Semipermanently Flooded",2.55056273265301,2.55056273265301,2.55056273265301
17001001100,1052,"Temporary Flooded",0.386543568350062,0.22287342958431,0.713883845881567
17001010100,562,"Intermittently Exposed",1446.18966994855,1434.29382244063,1453.08421852237
17001010100,562,"Intermittently Flooded",224.902991348559,132.472802338874,350.940250430015
17001010100,562,"Permanently Flooded",1625.41423937029,1625.41423937029,1625.41423937029
17001010100,562,"Seasonally Flooded",1213.88641507719,1158.52674369125,1273.49437114075
17001010100,562,"Seasonally Flooded/Saturated",1431.27843232599,1415.81836857997,1445.5576831822
17001010100,562,"Seasonally Saturated",1213.88641507719,1158.52674369125,1273.49437114075
