"county","mean_PF","min_PF","max_PF","mean_IE","min_IE","max_IE","mean_SPF","min_SPF","max_SPF","mean_SFS","min_SFS","max_SFS","mean_SF","min_SF","max_SF","mean_SS","min_SS","max_SS","mean_TF","min_TF","max_TF","mean_IF","min_IF","max_IF","area_uncert"
"Clark",2214.94277148091,2214.94277148091,2214.94277148091,1900.3977071388,1885.07195965627,1909.80859921715,1885.95823916185,1868.50251855086,1899.26003955859,1885.95823916185,1868.50251855086,1899.26003955859,1838.00441052097,1814.48553037607,1857.21794127788,1838.00441052097,1814.48553037607,1857.21794127788,116.93559889482,43.7195516469336,266.068825910541,115.539500705913,40.2392701138087,266.068825910541,1.14221884276107
"Clay",5951.59303411567,5951.59303411567,5951.59303411567,5717.35057517872,5697.12966091051,5735.48007877686,5694.25222474971,5666.4764386879,5726.45355745585,5694.25222474971,5666.4764386879,5726.45355745585,5624.01527336727,5567.36692175974,5701.41467893937,5624.01527336727,5567.36692175974,5701.41467893937,256.676315941763,65.5126234960595,639.553662493142,256.676315941763,65.5126234960595,639.553662493142,1.012606908296
"Clinton",12055.3772038771,12055.3772038771,12055.3772038771,11880.9676124166,11857.9392886858,11899.8882076682,11732.5771756593,11681.0539263394,11790.9356409993,11732.5771756593,11681.0539263394,11790.9356409993,10841.9405601926,10629.4715962829,11128.0823739616,10841.9405601926,10629.4715962829,11128.0823739616,651.108376393258,236.534923850915,1244.34450997194,651.108376393258,236.534923850915,1244.34450997194,1.05186601643583
"Coles",1647.11667725951,1647.11667725951,1647.11667725951,1502.05043532543,1495.71013713656,1504.70904121609,1488.21851233996,1480.79133491753,1492.14587994017,1488.21851233996,1480.79133491753,1492.14587994017,1413.66009684496,1392.56183211633,1429.90614403186,1413.66009684496,1392.56183211633,1429.90614403186,67.0800148565771,21.6647291247366,129.988897331779,67.0800148565771,21.6647291247366,129.988897331779,1.11769205760939
"Cook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crawford",4194.27961007885,4193.74645665908,4194.45732788544,3962.9632486211,3944.88713122338,3971.43628342324,3937.16498194352,3910.93856785185,3958.75625331102,3937.16498194352,3910.93856785185,3958.75625331102,3864.97980963365,3814.51909434917,3915.63007039542,3864.97980963365,3814.51909434917,3915.63007039542,350.463296679295,180.888865446929,611.020868268852,350.463296679295,180.888865446929,611.020868268852,0.994524293197769
"Cumberland",1185.44877742251,1185.44877742251,1185.44877742251,994.341595507832,991.752193127265,996.171100817256,989.763887653047,986.677353534145,991.768111451448,989.763887653047,986.677353534145,991.768111451448,969.964299686126,964.043848489064,975.617056648329,969.964299686126,964.043848489064,975.617056648329,42.39160360895,13.7464370851976,100.240392142678,42.39160360895,13.7464370851976,100.240392142678,1.17845282984482
"De Witt",738.685525655314,738.685525655314,738.685525655314,646.472390655441,638.772413745782,652.998409847391,641.557125041013,633.210537436508,648.828777903418,641.557125041013,633.210537436508,648.828777903418,454.366267454468,434.1151249054,471.843488871152,454.366267454468,434.1151249054,471.843488871152,56.766719370164,20.1525677318769,100.672462847805,56.766719370164,20.1525677318769,100.672462847805,1.50081301172624
"DeKalb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Douglas",1133.30942682258,1133.30942682258,1133.30942682258,1105.89125361913,1105.38427596789,1106.07447798394,1095.3267242195,1091.15523646997,1098.43590894344,1095.3267242195,1091.15523646997,1098.43590894344,1001.31942499824,969.649943236612,1022.05565582631,1001.31942499824,969.649943236612,1022.05565582631,84.0790647999488,24.4583553158932,144.896716486453,70.6203950666171,10.9996855825615,131.438046753121,1.06128874086092
"DuPage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edgar",1288.97528030888,1288.97528030888,1288.97528030888,1166.02597512413,1154.86090983567,1171.40580513035,1163.30790909423,1151.96653170921,1169.04036329356,1163.30790909423,1151.96653170921,1169.04036329356,1157.92937854896,1145.66910946688,1164.7033378789,1157.92937854896,1145.66910946688,1164.7033378789,55.0632334413737,14.0706989397595,133.700631897855,55.0632334413737,14.0706989397595,133.700631897855,1.06561943217449
"Edwards",1970.39685261708,1970.39685261708,1970.39685261708,1815.07456001176,1794.52179185359,1828.40178216278,1803.15264716886,1781.78074507201,1817.39757830236,1803.15264716886,1781.78074507201,1817.39757830236,1750.96320127866,1721.92771259791,1782.60900515435,1750.96320127866,1721.92771259791,1782.60900515435,114.209148652176,40.0074874036651,268.243957849732,114.209148652176,40.0074874036651,268.243957849732,1.06009521080135
