"county","mean_Emergent","min_Emergent","max_Emergent"
"Adams",167.36784937005,148.198550573811,184.623716774399
"Alexander",149.203478782769,128.831309987253,163.692925504933
"Bond",60.4752979656586,55.0412249526153,67.3514862269811
"Boone",374.352357069552,336.706386182024,415.9111248175
"Brown",171.337734277597,166.162091033906,174.979932756014
"Bureau",175.771899268735,106.351951667977,268.448216318227
"Calhoun",190.643236779498,169.712610618125,212.433431376198
"Carroll",89.6690638140547,57.8210832864878,111.760116517209
"Cass",167.061046839166,147.041401139953,182.944304642269
"Champaign",276.993927230081,255.98185714395,293.956698554026
"Christian",213.473247391218,195.949048773922,227.368832624376
"Clark",19.0447956108809,18.0230433045548,21.3280367798113
"Clay",98.9364315739264,90.0259469429214,108.698176801184
"Clinton",408.053142930914,376.617848037749,459.070023843494
"Coles",14.081618310332,11.0860509234333,16.6036366978946
"Cook",0,0,0
"Crawford",70.5578724880453,63.8519635195649,75.420417917961
"Cumberland",7.37146795670391,6.07021474662807,8.97436927044596
"De Witt",31.5161710403461,24.4309028534733,37.4299221957239
"DeKalb",0,0,0
"Douglas",34.8215003998025,30.2582806263719,38.7913181754842
"DuPage",0,0,0
"Edgar",3.29997757441555,2.66180130229408,4.16627838697814
"Edwards",27.4683469283076,26.2732976228799,28.8760102802605
"Effingham",16.7138009092901,14.0564920867959,18.8830025826574
"Fayette",410.938503411218,394.595363967616,421.577334032891
"Ford",15.0571336192268,11.3408227879515,20.5063178269371
"Franklin",283.154689881788,227.216618452194,346.22468113669
"Fulton",237.796790922865,198.349175477961,277.228394278678
"Gallatin",118.655172034706,109.528460164408,134.831745710207
"Greene",91.1475298861061,65.5407034487095,110.756560387035
"Grundy",0,0,0
"Hamilton",49.6765179669075,46.7642315412344,53.7650749161759
"Hancock",265.513790005044,229.052028467989,291.950002223625
"Hardin",67.4261263252099,63.7898947428182,69.4806215258975
"Henderson",194.241540652914,176.771235487681,206.196642694835
"Henry",171.65150510626,159.059874691204,184.030016913891
"Iroquois",211.381220427934,174.035555320035,248.679551075819
"Jackson",141.633412905746,112.594336724224,182.803971290513
"Jasper",29.2348055829784,26.8819643083438,31.2734985426223
"Jefferson",215.328726522868,177.687209056072,268.375665604181
"Jersey",26.5246055889286,22.0653891048911,30.4745553323523
"Jo Daviess",83.6364956781361,39.4404496334494,124.958769806903
"Johnson",158.601434861526,130.675860163305,192.65656297619
"Kane",0,0,0
"Kankakee",182.426373628706,140.434715772968,221.599339330557
"Kendall",75.1508071011213,45.3437180936654,96.3582170636183
"Knox",129.706332096601,109.891818742729,147.670309925298
"Lake",0,0,0
"LaSalle",196.36607352825,149.46458680312,244.892363678145
"Lawrence",105.669255841627,89.7018866650479,117.361148956553
"Lee",205.648798651304,145.466521282167,270.837998840884
"Livingston",36.6321053315984,31.5260723547911,41.1655700501525
"Logan",67.498859168392,58.6503013443504,76.2542272682563
"Macon",84.553323559786,80.1926388424802,87.4285711238827
"Macoupin",65.4478964007637,57.276543951521,73.388103209393
"Madison",520.235370338214,509.445536317147,534.115785935702
"Marion",92.1899465196374,82.4308793898334,98.7511020486382
"Marshall",46.8270640321555,28.7177362802357,63.4942664250872
"Mason",182.292558070934,124.413982194572,264.548130593244
"Massac",62.1479377246389,51.6737161804847,67.2076591569555
"McDonough",465.634557503057,438.717618878077,490.219668732892
"McHenry",0,0,0
"McLean",53.3206955953616,46.076509174362,58.7349341156024
"Menard",60.7438871605528,56.9913675141839,62.7595358134826
"Mercer",328.755579300556,288.765545475307,361.799990734093
"Monroe",559.383498457085,538.772323907926,571.631142743766
"Montgomery",181.341630719909,169.914034702392,200.710562307069
"Morgan",102.787322297967,94.3508475159761,120.257509200945
"Moultrie",44.6161707111381,31.8225971221729,65.5934008431022
"Ogle",247.472130885712,201.078066853876,320.874494022472
"Peoria",152.407051934006,117.225580853038,183.052016148531
"Perry",119.173123731846,100.435874392985,135.379620896804
"Piatt",30.8835483779393,25.8984494354989,33.81305045443
"Pike",266.263138638572,254.920886220783,274.778415183707
"Pope",38.734132093683,31.5749554817432,49.9178620405754
"Pulaski",54.592512638105,47.8790396846992,63.2175448582633
"Putnam",48.9595653314996,9.38905049016187,62.1897437838266
"Randolph",196.626332279926,169.426923008332,213.518894350622
"Richland",46.3203657363442,45.4888467054276,46.8970329154183
"Rock Island",526.42368974372,438.375311337644,583.396302485377
"Saline",146.712146294114,130.704666329679,161.402576970835
"Sangamon",464.124891070203,441.130860258285,479.516275565168
"Schuyler",111.459562570552,102.380128201067,122.536864832764
"Scott",40.5448348452468,33.8427086667789,47.4173305620523
"Shelby",122.681982726394,115.158077146537,131.137317227882
"St. Clair",814.919957968937,786.359313279468,840.817769003603
"Stark",19.3258177096002,17.8569851638454,21.5529995507065
"Stephenson",290.119213432296,239.765346226038,340.927784341256
"Tazewell",172.755472052736,158.337967526996,198.979683535532
"Union",149.888240839798,128.954945864109,158.940214663567
"Vermilion",92.5877283619341,78.6668963881891,101.30365626996
"Wabash",65.6605134396383,55.686086217879,70.5979125894134
"Warren",67.2729374264041,53.8164203288476,79.4279757346505
"Washington",76.0180609504158,57.58060778166,96.0382798654881
"Wayne",148.825109017106,138.40371686168,167.958971582016
"White",125.459403300518,97.7181012876477,174.232253435608
"Whiteside",325.626251192865,292.788394425688,353.828854655825
"Will",0,0,0
"Williamson",229.539909155627,187.617460393102,274.142278032512
"Winnebago",494.606526301315,348.838072633426,701.809073847311
"Woodford",63.8193374283702,36.3994400971885,80.6303566967408
