"Intermittently Exposed","Intermittently Flooded","Permanently Flooded","Seasonally Flooded","Seasonally Flooded/Saturated","Seasonally Saturated","Semipermanently Flooded","Temporary Flooded"
-0.00368858218474311,-0.000355132234001576,-0.0057022242211683,-0.0022673016972802,-0.00489201965884122,-0.0041529198038376,-0.00230513044254731,0.00088791550044751
-0.00431251621099363,0.000393669164659352,-0.00411502504675827,-0.00432612935455528,-0.0041997577734797,-0.00400827533825562,-0.00335047764583711,-0.000419477131168969
-0.00214415335209524,0.000345064160820317,-0.00652803933441406,-0.00339521060682276,-0.00273148246468754,-0.00379073777333115,-0.0026294360127547,-0.000586530178730941
-0.00328029786071409,0.00084410590922645,-0.00731701476992166,-0.00380337319179529,-0.00267781392538777,-0.00427423929753464,-0.00300207083180293,-0.000873669694879111
-0.00279997922297662,0.000387265111376064,-0.00701594031425486,-0.00184610560132043,-0.00358299619027766,-0.00503053057151069,-0.00436194419769388,0.00174410304169535
-0.00506521833413955,-0.000768190724335818,-0.00289234684788045,-0.00461237053804974,-0.00349777788816965,-0.00187208958656775,-0.00316306412216929,-0.000992311027351224
-0.00280370707815119,0.0014874301765532,-0.00662464802603669,-0.00257555946360452,-0.00405420325833998,-0.00415497205534219,-0.00612729213870203,0.00223131882356273
-0.00295724678760064,0.00130281522990281,-0.00674299772267387,-0.00250894634237561,-0.00315227368189432,-0.00455643822417744,-0.00611908882611572,0.00101507729055701
-0.00489127713774026,-0.00145606911053636,-0.00183673335231976,-0.00455213515608185,-0.00443922681213069,-0.00339933467647408,-0.0046177797518155,-0.00136995705773235
-0.0050701086409167,-0.0014183515193883,-0.00507510916863483,-0.00538774708175713,-0.00223507157769578,-0.00333264156388535,-0.00505545559460548,-0.00125600800199791
-0.00296551362983459,0.00218357330531472,-0.00432125695855537,-0.00233277659643149,-0.00527450193053455,-0.00313886719618769,-0.00267684324492639,0.00134648569139631
