"Intermittently Exposed","Intermittently Flooded","Permanently Flooded","Seasonally Flooded","Seasonally Flooded/Saturated","Seasonally Saturated","Semipermanently Flooded","Temporary Flooded"
0.00476773397823531,0.00767926999296283,-0.00143688386199891,0.00463785632243003,0.000527011620312866,0.00449386253267395,0.00406238002639137,0.0177031328978815
0.00441010456906299,0.00628048427949997,-0.00128016641765532,0.00892143105563059,0.0028868478645548,0.00292612876876007,0.00251510967844078,0.0074060013326953
0.00441553122282868,0.00970118373781322,0.0121385625382904,0.00403570516177229,0.00562066693473287,0.0109447227908203,0.00726252427418883,0.0127879933326892
0.00603806061242083,0.00827687569332329,-0.00139975981180188,0.00680841906254745,0.00866211232672948,0.00279311039891239,0.00303414604965053,0.00782055816523287
0.011151512227174,0.0192273058180258,0.000338007827900761,0.00340436285269336,0.00637739689082249,-0.0015268173683433,0.00366829496392976,0.0103487494675589
0.0015928645461951,0.00929873804189674,0.00170847089291993,0.00416390278315032,0.00378260556907807,0.00145739984397316,-0.00207099560440038,0.00258704861494663
0.00985985708683358,0.00918419282285755,-0.00348707856620353,-0.000549529194788522,0.00686305027156323,0.00367878697920372,0.00323871376020057,0.00309232368290612
0.000771645484966877,0.00642453278111313,0.00387151008056883,0.0142994284478719,-0.00213362746210151,0.00667172354095626,0.003121983850543,0.00992792058945365
0.00153445250767706,0.00677567939608603,0.00386055034925544,0.00506508364739681,0.00420128726726226,0.00275962775018851,0.000320287619598317,0.0132121812792363
0.00274400205498133,0.00900148457633597,0.00819638530316047,0.00591499699928082,0.00803881565070923,0.0103873250924678,0.00535694061473441,0.00587161838009329
0.00739902137669893,0.015721578725408,0.00560737633540872,0.00576000479949961,0.00773897001693842,0.0013857789879378,0.00639309714910792,0.00441347840725554
0.00686129145454649,0.00678197796902433,0.00145384898948465,0.00416276442899952,-0.000692985816946097,0.00255221994466485,0.00498589789589669,0.021004124068763
0.00369556679191576,0.00609354856664543,0.00857393975330467,0.0084053817687821,0.00355553069199071,0.00828153533760839,0.00565240729422544,0.00168425275296302
0.00895629051135319,0.0094557539273732,0.00129086933947001,0.00787635007501862,0.00735867256053182,0.00700698788434129,0.00524945210894559,0.00782766415639096
0.000139363836627284,0.00726509827661875,0.00271122223395795,0.00577524419628861,0.00154156824103078,0.0087079996129403,0.00603549988946993,0.0054924491813752
0.0113489550454067,0.00894912765563303,0.00907819964757238,0.0114568216632526,0.00984445910116601,0.00616284080675444,0.0052952256274383,0.0107256125485286
0.00110348697783644,0.013327919757113,0.00165237823270389,0.00582235304677626,0.00130203940047052,0.00739381298539185,0.00617491008518464,0.0132775118807554
0.011134854639139,0.00914847898773281,0.00674513729777103,0.0028209450529053,0.0104226409649174,0.0034761743154153,0.00280819006723185,0.00935527769429432
0.00091962389079633,0.0099452082357703,0.00353260364197615,0.00681426525798489,0.00230015108209774,0.00870512542997164,0.00356535536985248,0.0165074946017977
0.00691331667808639,0.0113760404981617,0.00364927388130446,0.0115567599468938,0.00714216797220151,0.0121500218337486,0.0053918113579934,0.0137091848813748
0.00600112139549392,0.0163405839595811,0.00425809753217025,0.00868154211672221,0.00678357945218316,0.0117118290549758,0.00774757376582555,0.0156787746625501
0.00350304410227494,0.00492394509419624,0.00590471564096864,0.00479609278285889,0.00158080665693618,0.000751986387904625,0.00721711959724143,0.00624359735360395
0.00502150890997505,0.0159097969580792,0.00277059980761251,0.00816241322511642,0.0085974544259708,0.00670897521449755,0.00466873604679169,0.013984814128188
