"Intermittently Exposed","Intermittently Flooded","Permanently Flooded","Seasonally Flooded","Seasonally Flooded/Saturated","Seasonally Saturated","Semipermanently Flooded","Temporary Flooded"
-1.91243734449178e-05,5.35012576692236e-06,-1.70249969824257e-05,-2.07922937089104e-05,-1.90950615904917e-05,-8.88485028357017e-06,-1.89300132962734e-05,4.88604363153864e-06
-1.43433697477897e-05,1.08811324437707e-05,-1.81467144069934e-05,-1.34304576867709e-05,-1.3610199647012e-05,-1.68256416925828e-05,-1.76884184500531e-05,7.37456684461614e-06
-1.70895120344681e-05,2.62131335166466e-06,-1.50973733592055e-05,-8.09608454101238e-06,-1.38396804803056e-05,-9.45326944369993e-06,-1.67772763867145e-05,2.17311299859192e-06
-1.21076686394669e-05,8.78365478983973e-06,-1.9718306552948e-05,-1.1174593906567e-05,-1.94426973442109e-05,-1.10648984808421e-05,-7.55199344327251e-06,8.43828139247668e-07
-1.10253792879871e-05,5.0079371258823e-06,-2.00960490514766e-05,-6.39678626383528e-06,-1.89558286038219e-05,-2.01595862780044e-06,-6.61037938615155e-06,8.04176307977995e-06
-1.11929943795722e-05,4.20379260754988e-06,-1.66292455873544e-05,-1.05550186897957e-05,-9.39961362742177e-06,-1.25615758351831e-05,-7.68019604031365e-06,6.22082217263693e-06
-1.91915273163696e-05,2.70304571915768e-06,-2.61077261116373e-05,-1.32334286169249e-05,-2.1620362232612e-05,-6.81541586237599e-06,-1.39335918043506e-05,3.23094755861997e-06
-1.87972015506547e-05,3.70837080422386e-06,-2.43580482602845e-05,-9.35068501845733e-06,-1.89831747537344e-05,-8.05801457760719e-06,-1.46623967053367e-05,1.45572570357183e-06
-1.76536820039814e-05,3.25219589020454e-06,-2.62755269114598e-05,-1.53300591538919e-05,-1.91300289119537e-05,-9.70222862719721e-06,-1.90940769394529e-05,3.02404595036359e-06
-1.64704410708192e-05,-9.46139624461507e-07,-2.66252026221516e-05,-1.80696843013036e-05,-1.74735357020203e-05,-1.01585303334778e-05,-1.83549393088892e-05,3.69938625193378e-06
-1.52708648119013e-05,5.47997018223078e-06,-2.11654320821915e-05,-1.77986556661375e-05,-1.9166409990444e-05,-1.16084400057239e-05,-1.74472991216906e-05,7.81666798213084e-07
-1.41802363226573e-05,9.34068263376976e-06,-2.5481813464369e-05,-1.47408048213198e-05,-1.15660680384241e-05,-1.37194190625053e-05,-7.14674754814495e-06,1.51061602910326e-05
-1.43610608425404e-05,7.02736423374881e-06,-1.52797556099998e-05,-1.34334098839413e-05,-1.98661607684308e-05,-4.16094584556834e-06,-1.04485208750642e-05,5.02885141985361e-06
-1.51802175195906e-05,3.2516487004833e-06,-2.16316246753549e-05,-5.87138670207705e-06,-5.68215559218463e-06,-1.31600090628196e-05,-1.65508814606907e-05,5.06216096741825e-06
-1.59378326428468e-05,7.8525166181138e-06,-1.42903629251688e-05,-1.61288948845935e-05,-1.9866262945696e-05,-9.24071109729426e-06,-1.28843036573467e-05,1.00167184959832e-06
-1.76199907423016e-05,-2.56520838004531e-07,-2.32232246871332e-05,-5.37279813131438e-06,-2.04973384911214e-05,-1.2365609065193e-05,-1.12741430283854e-05,5.94680017948934e-06
-1.61288568957477e-05,1.33887533936173e-06,-2.23851933965656e-05,-5.93434945278285e-06,-1.97936850103782e-05,-1.36364935960949e-05,-1.1583478913572e-05,4.58089010967597e-06
