"wr","mean.area","min.area","max.area","mean.percent","min.percent","max.percent"
1,69553.5183695145,67412.387425956,73610.0356568644,0.0703394312571367,0.0681741068228379,0.0744417847478841
2,71091.4448390662,68975.1599797145,75098.2699580027,0.0718947353699906,0.0697545377656932,0.0759468352007352
3,71091.4448390662,68975.1599797145,75098.2699580027,0.0718947353699906,0.0697545377656932,0.0759468352007352
4,137953.244644593,137282.535564205,139231.857568789,0.139512033263732,0.138833745574491,0.14080509374427
5,137953.244644593,137282.535564205,139231.857568789,0.139512033263732,0.138833745574491,0.14080509374427
6,150744.848026648,150744.848026648,150744.848026648,0.152448174063692,0.152448174063692,0.152448174063692
7,150744.848026648,150744.848026648,150744.848026648,0.152448174063692,0.152448174063692,0.152448174063692
